"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3523","@smoke Sauce Demo: add 2nd & 3rd items after sorting low->high and checkout","","Wed Feb 25 14:32:12 UTC 2026","passed","Wed Feb 25 14:32:15 UTC 2026","","sauceDemo.spec.js","",""
"","556","@smoke Validate Playright dev page ittle","","Wed Feb 25 14:31:53 UTC 2026","passed","Wed Feb 25 14:31:54 UTC 2026","","launchbrowser.spec.js","",""
"","743","@smoke Print first & Second item displaying in the products page","","Wed Feb 25 14:31:56 UTC 2026","passed","Wed Feb 25 14:31:56 UTC 2026","","launchbrowser.spec.js","",""
"","6213","@Smoke Perform Hover","","Wed Feb 25 14:31:53 UTC 2026","passed","Wed Feb 25 14:32:00 UTC 2026","","hoverFrameDialogue.spec.js","",""
